judul_listing,harga,luas_tanah,luas_bangunan,kamar_tidur,kamar_mandi,lantai,carport,furnished,keamanan,taman,alamat_teks,latitude,longitude,url_listing,sumber_data,wilayah_scraping
Dijual Rumah Pantai Mentari! 2 LT! Nego!,1850000000,90.0,135.0,4,3,2,2.0,Unfurnished,0,1,"Bulak, Surabaya",-7.240977,112.79512,https://www.rumah123.com/properti/surabaya-bulak/dijual-rumah-pantai-mentari-2-lt-nego-hos42311303/,rumah123,Surabaya Utara
Cessie / Pra-Lelang - Rumah 3 Lantai Bulak Rukem Surabaya Utara,500000000,53.0,140.0,3,1,3,1.0,Unfurnished,0,1,"Bulak, Surabaya",-7.240977,112.79512,https://www.rumah123.com/properti/surabaya-bulak/cessie-pralelang-rumah-3-lantai-bulak-rukem-surabaya-utara-hos42193504/,rumah123,Surabaya Utara
"Dijual Rumah Baru - Setro Utara, Tambaksari Surabaya Timur",600000000,65.0,60.0,2,1,1,1.0,Unfurnished,0,1,"Bulak, Surabaya",-7.240977,112.79512,https://www.rumah123.com/properti/surabaya-bulak/dijual-rumah-baru-setro-utara-tambaksari-surabaya-timur-hos42105261/,rumah123,Surabaya Utara
Dijual Rumah Gading Intang Utara Bulak Surabaya,950000000,166.0,125.0,3,1,1,1.0,Unfurnished,1,1,"Bulak, Surabaya",-7.28917,112.734,https://www.rumah123.com/properti/surabaya-bulak/dijual-rumah-gading-intang-utara-bulak-surabaya-hos42100839/,rumah123,Surabaya Utara
"Dijual Rumah Pantai Mentari 2 Lantai Terawat, Bersih & Siap Huni Surabaya",2350000000,153.0,194.0,4,3,2,2.0,Semi Furnished,0,0,"Bulak, Surabaya",-7.240977,112.79512,https://www.rumah123.com/properti/surabaya-bulak/dijual-rumah-pantai-mentari-2-lantai-terawat-bersih-siap-huni-surabaya-hos42012930/,rumah123,Surabaya Utara
Dijual Rumah Pantai Mentari Cluster Depan Dekat Kenjeran,1000000000,72.0,50.0,3,1,1,1.0,Unfurnished,0,0,"Bulak, Surabaya",-7.28917,112.734,https://www.rumah123.com/properti/surabaya-bulak/dijual-rumah-pantai-mentari-cluster-depan-dekat-kenjeran-hos42012931/,rumah123,Surabaya Utara
"Dijual disewakan Rumah Pantai Mentari Hampton Regency, Surabaya",3500000000,187.0,200.0,3,2,2,1.0,Semi Furnished,0,0,"Bulak, Surabaya",-7.2409767,112.7951194,https://www.rumah123.com/properti/surabaya-bulak/dijual-disewakan-rumah-pantai-mentari-hampton-regency-surabaya-hos42012963/,rumah123,Surabaya Utara
"Rumah 1 Lantaisiap Huni Pantai Mentari Row Jalan Besar Dekat Raya Kenjeran, Pakuwon City",1600000000,120.0,120.0,2,1,1,2.0,Unfurnished,1,0,"Bulak, Surabaya",-7.240977,112.79512,https://www.rumah123.com/properti/surabaya-bulak/rumah-1-lantaisiap-huni-pantai-mentari-row-jalan-besar-dekat-raya-kenjeran-pakuwon-city-hos41866118/,rumah123,Surabaya Utara
Rumah Pantai Mentari NEW GRESS MINIMALIS STRATEGIS MODERN,1950000000,90.0,135.0,4,3,2,,Unfurnished,1,0,"Bulak, Surabaya",-7.240977,112.79512,https://www.rumah123.com/properti/surabaya-bulak/rumah-pantai-mentari-new-gress-minimalis-strategis-modern-hos40669079/,rumah123,Surabaya Utara
Dijual Rumah 2Lt Baru Renovasi di Pantai Mentari Siap Huni,1500000000,108.0,150.0,2,2,2,1.0,Unfurnished,1,1,"Bulak, Surabaya",-7.240977,112.79512,https://www.rumah123.com/properti/surabaya-bulak/dijual-rumah-2lt-baru-renovasi-di-pantai-mentari-siap-huni-hos41953814/,rumah123,Surabaya Utara
