judul_listing,harga,luas_tanah,luas_bangunan,kamar_tidur,kamar_mandi,lantai,carport,furnished,keamanan,taman,alamat_teks,latitude,longitude,url_listing,sumber_data
Dijual Rumah Minimalis Siap Huni Sudah Renovasi di Daerah Bangkingan Surabaya,800000000,96.0,65.0,2,1,1,1.0,Unfurnished,1,0,"Lakarsantri, Surabaya",-7.30073,112.635658,https://www.rumah123.com/properti/surabaya-lakarsantri/dijual-rumah-minimalis-siap-huni-sudah-renovasi-di-daerah-bangkingan-surabaya-hos41161000/,rumah123
Rumah 2 Lantai Lokasi Lakarsantri Surabaya,1270000000,60.0,82.0,3,2,2,1.0,Unfurnished,1,0,"Lakarsantri, Surabaya",-7.30073,112.63566,https://www.rumah123.com/properti/surabaya-lakarsantri/rumah-2-lantai-lokasi-lakarsantri-surabaya-hos18546630/,rumah123
Prime Location Menteng Ideal untuk Komersial & Residence,50000000000,760.0,650.0,5,4,2,2.0,Semi Furnished,0,0,"Surabaya Kota, Surabaya",-7.2771,112.717407,https://www.rumah123.com/properti/surabaya-surabaya-kota/rumah-bisa-buat-komersil-jl-surabaya-hos41945559/,rumah123
Dijual cepat rumah hitung tanah 1 Lantai di Kertajaya indah,4000000000,200.0,200.0,3,1,1,1.0,Unfurnished,0,1,"kertajaya, Surabaya",-7.28917,112.734,https://www.rumah123.com/properti/surabaya-kertajaya/dijual-cepat-rumah-hitung-tanah-1-lantai-di-kertajaya-indah-hos15399781/,rumah123
Harga Spesial Dan Langka Dharmahusada Indah Timur Semi Furnished,12000000000,500.0,715.0,3,4,2,2.0,Semi Furnished,0,0,"Gubeng, Surabaya",-7.27396,112.74819,https://www.rumah123.com/properti/surabaya-gubeng/harga-spesial-dan-langka-dharmahusada-indah-timur-semi-furnished-hos19012352/,rumah123
"Dijual Rumah Graha Sampurna Indah Wiyung Surabaya Barat - Samping Royal Residence Dekat Pakuwon Mall, Akses Tol Gunungsari",1600000000,135.0,92.0,4,2,1,1.0,Unfurnished,1,1,"Wiyung, Surabaya",-7.31097,112.698067,https://www.rumah123.com/properti/surabaya-wiyung/dijual-rumah-graha-sampurna-indah-wiyung-surabaya-barat-samping-royal-residence-dekat-pakuwon-mall-akses-tol-gunungsari-hos42382741/,rumah123
Dijual Rumah di Citraland Taman Puspa Raya,1750000000,120.0,150.0,3,2,1,1.0,Unfurnished,1,1,"Citraland, Surabaya",-7.309354,112.656548,https://www.rumah123.com/properti/surabaya-citraland/dijual-rumah-di-citraland-taman-puspa-raya-hos42368863/,rumah123
Dijual Cepat Rumah di Wisma Mukti Klampis Surabaya,1700000000,135.0,120.0,2,1,1,1.0,Unfurnished,1,0,"Sukolilo, Surabaya",-7.28813,112.802902,https://www.rumah123.com/properti/surabaya-sukolilo/dijualcepat-rumah-di-wisma-mukti-klampis-surabaya-hos42375540/,rumah123
Dijual Rumah Baru Gress di Panjang Jiwo Permai Selatan Surabaya,1750000000,96.0,140.0,5,4,2,2.0,Unfurnished,1,0,"Tenggilis Mejoyo, Surabaya",-7.31943,112.755386,https://www.rumah123.com/properti/surabaya-tenggilis-mejoyo/dijual-rumah-baru-gress-di-panjang-jiwo-permai-selatan-surabaya-hos41470142/,rumah123
Rumah Shm Terlaris Di Gununganyar Surabaya Timur 400m Ke Merr,2090000000,105.0,150.0,3,3,2,2.0,Unfurnished,1,1,"Gununganyar, Surabaya",-7.33182,112.80822,https://www.rumah123.com/properti/surabaya-gununganyar/rumah-shm-terlaris-di-gununganyar-surabaya-timur-400m-ke-merr-hos19437739/,rumah123
