judul_listing,harga,luas_tanah,luas_bangunan,kamar_tidur,kamar_mandi,lantai,carport,furnished,kecamatan,jarak_ke_pusat_kota,rasio_bangunan_tanah,luas_bangunan_per_lantai,sumber_data
Dijual Rumah Komersil Tengah Kota Surabaya,23000000000,571.0,600.0,9.0,3.0,2.0,2.0,Unfurnished,Gubeng,4.05,1.0507880910683012,300.0,rumah123
"Dijual Rumah Baru Gress Dharmahusada Indah, Surabaya Timur",18000000000,600.0,450.0,4.0,5.0,2.0,2.0,Unfurnished,Gubeng,1.88,0.75,225.0,rumah123
"Rumah untuk Usaha Jl Sumbawa, Gubeng Sby Utk Kantor, Usaha Lain2",18000000000,571.0,638.0,17.0,3.0,2.0,2.0,Unfurnished,Gubeng,1.88,1.117338003502627,319.0,rumah123
Rumah Hitung Tanah Jln Biliton Pusat Kota Dimensi 12X45 Meter Bangunan 1 Lantai Dekat Stasiun Gubeng,14000000000,540.0,500.0,2.0,1.0,1.0,4.0,Unfurnished,Gubeng,1.62,0.9259259259259259,500.0,rumah123
"Rumah Komersial Gubeng,Biliton Kertajaya",6600000000,440.0,550.0,5.0,4.0,2.0,1.0,Unfurnished,Gubeng,1.88,1.25,275.0,rumah123
"Murah Siap Huni Mojoarum, Dekat Unair, Galaxy Mall, Merr",3250000000,300.0,500.0,2.0,4.0,2.0,,Unfurnished,Gubeng,2.58,1.6666666666666667,250.0,rumah123
"Tinggal 3 Unit ❗❗Dijual Rumah Japandi Modern, Semi Furnished, Siap Huni",2750000000,100.0,175.0,3.0,3.0,2.0,2.0,Semi Furnished,Gubeng,1.88,1.75,87.5,rumah123
Jual Rumah Mewah di Graha Family,21000000000,731.0,1000.0,5.0,5.0,5.0,1.0,Unfurnished,Gubeng,2.58,1.3679890560875514,200.0,rumah123
"Dijual Rumah L200m Mojoklangru Surabaya Dekat Rs Mitra, Stasiun - Bandara",3700000000,200.0,320.0,6.0,4.0,2.0,2.0,Unfurnished,Gubeng,1.88,1.6,160.0,rumah123
Dijual Rumah Second 2Lt Mojoklamgru,2400000000,150.0,200.0,4.0,3.0,2.0,1.0,Unfurnished,Gubeng,1.88,1.3333333333333333,100.0,rumah123
Dijual cepat rumah di jalan Nias,23500000000,928.0,700.0,5.0,4.0,1.0,,Unfurnished,Gubeng,1.88,0.7543103448275862,700.0,rumah123
Mojoklanggru Kidul Besar 2Lt Area Dharmahusada,10200000000,1000.0,1000.0,6.0,7.0,2.0,4.0,Unfurnished,Gubeng,1.88,1.0,500.0,rumah123
Dijual Cepat Rumah Ngagel Wasana Siap Huni dengan Lokasi Strategis,1250000000,60.0,50.0,2.0,2.0,1.0,1.0,Unfurnished,Gubeng,1.88,0.8333333333333334,50.0,rumah123
"Rumah Lama Terawat di Bratang, Kec Gubeng Dekat Pusat Kota Surabaya Surat Ijo 2 Lantai",2000000000,297.0,250.0,6.0,2.0,2.0,2.0,Unfurnished,Gubeng,1.88,0.8417508417508418,125.0,rumah123
"Rumah Ngagel Jaya - Cocok Cafe, Pujasera, Klinik, Kos & Depot",2800000000,238.0,300.0,,3.0,1.0,,Unfurnished,Gubeng,3.92,1.2605042016806722,300.0,rumah123
"Murah Dijual Rumah Pusat Kota Jalan Sumatra, Gubeng, Surabaya",14000000000,437.0,388.0,,6.0,1.0,2.0,Unfurnished,Gubeng,1.88,0.8878718535469108,388.0,rumah123
"Murah Dijual Rumah Ex Kantor Jalan Lombok, Gubeng. Flores Bawean",11000000000,396.0,410.0,6.0,3.0,2.0,3.0,Unfurnished,Gubeng,1.88,1.0353535353535352,205.0,rumah123
"Rumah Pondok Benowo Indah, On Progress, SHM, Dekat Tol",875000000,97.0,140.0,3.0,3.0,2.0,1.0,Unfurnished,Benowo,13.75,1.443298969072165,70.0,rumah123
Rumah Baru Ready Unit Benowo Surabaya Dekat Gelora Bung Tomo,550000000,66.0,36.0,2.0,1.0,1.0,1.0,Unfurnished,Benowo,13.75,0.5454545454545454,36.0,rumah123
"Dijual Rumah Jl. Klakah Rejo , Kelurahan Kandangan Kecamatan Benowo. Surabaya",1750000000,150.0,150.0,3.0,1.0,1.0,1.0,Unfurnished,Benowo,13.75,1.0,150.0,rumah123
Rumah Baru Minimalis Pondok Benowo Indah Jalan Lebar & Strategis,975000000,99.0,150.0,3.0,3.0,2.0,,Unfurnished,Benowo,13.73,1.5151515151515151,75.0,rumah123
Rumah 3 Lantai Di Perumahan Surabaya Barat Dijual Murah,1800000000,119.0,200.0,4.0,5.0,4.0,,Unfurnished,Benowo,13.75,1.680672268907563,50.0,rumah123
Perumahan Tanpa DP Dekat Gelora Bung Tomo,633000000,60.0,36.0,2.0,1.0,1.0,1.0,Unfurnished,Benowo,13.75,0.6,36.0,rumah123
Rumah Siap Huni di Perumahan Dekat Stadion Gelora Bung Tomo,550000000,96.0,84.0,3.0,1.0,1.0,1.0,Unfurnished,Benowo,13.75,0.875,84.0,rumah123
Rumah Mewah Dekat Gelora Bung Tomo,863000000,84.0,45.0,2.0,1.0,1.0,1.0,Unfurnished,Benowo,13.75,0.5357142857142857,45.0,rumah123
