judul_listing,harga,luas_tanah,luas_bangunan,kamar_tidur,kamar_mandi,lantai,carport,furnished,latitude,longitude,sumber_data
Murah Hanya Bulan Ini Baru Gress Amesta Living,950000000,84.0,90.0,3.0,2.0,2.0,,Unfurnished,,,rumah123
Rumah Perum Grand Tirta Agung,525000000,36.0,60.0,2.0,2.0,2.0,1.0,Unfurnished,-7.33182,112.80822,rumah123
Rumah Central Park Gunung Anyar Regency Surabaya Murah. Ron.a1250,2350000000,210.0,139.0,2.0,2.0,1.0,1.0,Unfurnished,-7.28917,112.734,rumah123
Amesta Living 2 Lantai Cluster Sora,1400000000,60.0,90.0,2.0,1.0,2.0,1.0,Unfurnished,-7.33182,112.80822,rumah123
"Rumah Baru Minimalis, Lokasi Strategis di Gununganyar Rungkut Modern",700000000,40.0,55.0,3.0,2.0,2.0,1.0,Unfurnished,-7.33182,112.80822,rumah123
Dijual Rumah Ready The Casual Purimas Regency Surabaya Timur,1400000000,60.0,99.0,4.0,3.0,1.0,1.0,Unfurnished,-7.33182,112.80822,rumah123
"Rumah Baru Amesta Living 3 Kamar, Ada Prabotan, Murah",1150000000,60.0,75.0,3.0,2.0,2.0,1.0,Semi Furnished,-7.33182,112.80822,rumah123
Rumah SHM Ready Siap Huni Gununganyar Dekat Kampus Upn Surabaya,1670000000,81.0,115.0,3.0,2.0,2.0,1.0,Unfurnished,-7.33182,112.80822,rumah123
Rumah Strategis Row 15M Rungkut Menanggal Harapan Surabaya 198 M2,2200000000,198.0,275.0,3.0,2.0,2.0,2.0,Unfurnished,-7.33182,112.80822,rumah123
Amesta Living Surabaya Timur Murah Poll Rumah Baru Gress 1M-An,1300000000,84.0,90.0,3.0,2.0,2.0,1.0,Unfurnished,-7.28917,112.734,rumah123
Dijual Cepat Rumah Royal Park Residence Surabaya Timur,1500000000,120.0,120.0,3.0,3.0,2.0,1.0,Furnished,-7.33182,112.80822,rumah123
Perumahan Murah Ready Unit Di Selatan Surabaya,600000000,90.0,36.0,2.0,1.0,,1.0,Unfurnished,-7.33182,112.80822,rumah123
Rumah SHM 2 Lantai Jual Murah Dekat Upn,650000000,48.0,45.0,2.0,2.0,2.0,1.0,Unfurnished,-7.33182,112.80822,rumah123
Rumah di Gunung Anyar Surabaya 1 Lantai Minimalis Siap Huni,665000000,75.0,50.0,2.0,1.0,1.0,1.0,Unfurnished,-7.339678,112.784519,rumah123
"Rumah Wiguna Timur, Dekat Merr, Tol, Kampus Upn",1500000000,120.0,102.0,3.0,2.0,1.0,2.0,Unfurnished,-7.33182,112.80822,rumah123
"Rumah Gunung Anyar, Dekat Merr, Tol, Upn, Galaxy Mall",1390000000,134.0,91.0,3.0,2.0,1.0,1.0,Unfurnished,-7.33182,112.80822,rumah123
Rumah On Gate On Progress Renov Dekat Ry Gununganyar Surabaya,650000000,60.0,50.0,2.0,1.0,1.0,1.0,Unfurnished,-7.33182,112.80822,rumah123
"Rumah Baru Ready One Gate Gununganyar Surabaya Dekat U P N, I T S",700000000,50.0,36.0,2.0,1.0,1.0,1.0,Unfurnished,-7.33182,112.80822,rumah123
RUMAH DIJUAL HITUNG TANAH WIGUNA TENGAH MURAH BEBAS BANJIR,999000000,135.0,90.0,3.0,1.0,1.0,1.0,Unfurnished,-7.33182,112.80822,rumah123
"Jual Rumah di Sidotopo Wetan Baru, Kenjeran Cocok untuk Usaha Home Industri, 3 SHM",7000000000,812.0,620.0,4.0,3.0,2.0,8.0,Unfurnished,-7.23563,112.786163,rumah123
Rumah 1 Lantai Siap Huni Gading Indah Dekat Kenjeran Suramadu Mulyosari,830000000,90.0,80.0,2.0,1.0,1.0,1.0,Unfurnished,-7.23563,112.786163,rumah123
